p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ACTB	5.58254143358643e-11	1.16153224359159	0.743	0.739	1.82761241452753e-06
IGF2R	6.23187239453502e-11	-0.962796144568229	0.191	0.501	2.04019038452288e-06
DDX17	6.71582806860758e-11	-1.11544116564559	0.301	0.609	2.19862779310075e-06
CPM	8.00348532173976e-11	-1.84146986334284	0.169	0.45	2.62018102463116e-06
TMEM132A	9.35848311869709e-11	-1.05405052051241	0.265	0.568	3.06378020339905e-06
TTC14	1.0848692319881e-10	-1.09795010533011	0.103	0.388	3.55164489168265e-06
SLC39A14	1.33027391067603e-10	-0.955098225682911	0.338	0.637	4.3550507287712e-06
RUNX1	1.4783473667979e-10	-1.16271711368201	0.221	0.517	4.83981360942297e-06
RRBP1	1.6786710541401e-10	-0.846079267875584	0.36	0.674	5.49563329704387e-06
PLOD1	2.02617435626535e-10	-0.927479259641928	0.265	0.563	6.63328960754151e-06
CCNL1	2.29645217015721e-10	-1.92871844886291	0.14	0.4	7.51812511466069e-06
CTSA	2.3156874707337e-10	-0.814395493539936	0.382	0.656	7.58109764168797e-06
ADM	2.75038789483397e-10	-0.439276947109297	0.125	0.419	9.00421989010744e-06
LIF	2.88999745676736e-10	-1.25560597925046	0.206	0.488	9.46127367396499e-06
TUBA1B	3.59888014201271e-10	1.52288927308521	0.61	0.511	1.17820138089212e-05
CKS1B	3.66470327837189e-10	2.35576372779557	0.382	0.211	1.19975055927339e-05
FNDC3B	3.72902986309336e-10	-1.11436264525724	0.279	0.58	1.2208097965795e-05
PCYOX1	3.86982584095361e-10	-0.735625730598849	0.184	0.462	1.26690358381139e-05
AVL9	3.94054933611077e-10	-2.2944967980782	0.11	0.375	1.29005704165594e-05
TAF7	3.99071643724499e-10	-1.38035627868626	0.184	0.469	1.30648074722526e-05
RPN2	4.10385175654896e-10	-0.836617755210251	0.331	0.626	1.343518988059e-05
HSP90AB1	4.26933435436204e-10	1.27134524120589	0.728	0.669	1.39769468093104e-05
HSPG2	4.52945053879973e-10	-1.65616438593275	0.11	0.369	1.48285151739225e-05
DYRK2	4.79990933678952e-10	-1.18650573006522	0.279	0.571	1.57139431867815e-05
MMP2	5.22089535550893e-10	-0.774847431069941	0.566	0.769	1.70921672148651e-05
GRN	6.07981389803755e-10	-0.737785923860262	0.412	0.693	1.99040947393953e-05
C1orf63	6.57443281169889e-10	-2.14510045718966	0.103	0.36	2.15233781389398e-05
OSMR	9.26645920045806e-10	-1.3657398286744	0.191	0.448	3.03365341304596e-05
TAPBP	9.46799304265307e-10	-0.972532152920258	0.213	0.506	3.09963156230376e-05
ZNF207	9.53500094651209e-10	-1.5062903147788	0.199	0.483	3.12156860986913e-05
SETD5-AS1	1.03798719982045e-09	-1.48873579226503	0.125	0.391	3.39816249477219e-05
C1S	1.04169670699281e-09	-0.685883767871837	0.213	0.487	3.41030667935305e-05
ZNF638	1.20622476124726e-09	-1.58225835499346	0.125	0.389	3.94893862337129e-05
MT2A	1.2220979812886e-09	0.699705702440717	0.934	0.928	4.00090437114261e-05
LTBP3	1.24319864043208e-09	-2.11145512406993	0.103	0.357	4.06998370904653e-05
CENPC	1.25248690576437e-09	-2.28667402133064	0.162	0.421	4.10039163209139e-05
GS1-600G8.5	1.27157007140369e-09	-1.03280035363233	0.301	0.58	4.16286609976141e-05
TMEM59	1.33651441979905e-09	-1.15466921848713	0.301	0.568	4.37548090753812e-05
TPP1	1.60479625671004e-09	-1.21399279571502	0.14	0.406	5.25378198521734e-05
LLPH	1.61120423872994e-09	0.89725553503338	0.809	0.797	5.27476043675409e-05
GPR155	1.76297155363206e-09	-3.0046893400022	0.081	0.316	5.77161627228063e-05
CD46	1.95236346861377e-09	-1.04178908698999	0.162	0.438	6.39164752354775e-05
CHPF	2.29608921083633e-09	-0.80244100901182	0.213	0.486	7.51693685843596e-05
CSNK1E	2.45913054305545e-09	-1.66332775393778	0.184	0.442	8.05070157185494e-05
SERPINE1	2.47534028486049e-09	-0.653541921263216	0.735	0.906	8.10376902457628e-05
SCARB1	2.58709477325219e-09	-1.18839453327049	0.059	0.307	8.46963086867302e-05
VMP1	2.66139801455596e-09	-1.0648053585455	0.213	0.488	8.71288482005331e-05
NKTR	2.86236497016569e-09	-2.57977452509977	0.125	0.369	9.37081043932845e-05
DPP4	2.94522213227125e-09	-0.526214448301037	0.324	0.601	9.64206821662961e-05
CA12	3.1630670268876e-09	-1.19935108531321	0.176	0.441	0.000103552488326246
LUM	3.2643053175489e-09	-0.992427371518317	0.11	0.371	0.000106866827485916
CCNL2	3.39859339812255e-09	-2.33811310605733	0.059	0.292	0.000111263150667736
RP11-366L20.2	3.43619511135831e-09	-1.82691199719869	0.147	0.39	0.000112494155555648
STX16	3.64033996616418e-09	-0.988987616109104	0.199	0.459	0.000119177449812283
ERO1L	3.73940073006418e-09	-0.772282857484917	0.25	0.523	0.000122420501100841
ABL2	4.31218936990832e-09	-1.83373952872139	0.125	0.362	0.000141172455592058
ZNF655	4.74495594779111e-09	-1.45815071824774	0.125	0.375	0.000155340367818785
AKAP9	4.79645678471452e-09	-1.30432601447261	0.272	0.536	0.000157026402217984
ENTPD4	4.97440427393454e-09	-2.40421970639257	0.103	0.34	0.000162852047120069
PLOD3	5.58574454907966e-09	-1.68164576985705	0.199	0.441	0.00018286610504777
LMAN1	5.85401688247535e-09	-0.703151476233075	0.434	0.695	0.000191648804698478
TMSB4X	6.3701943993436e-09	0.740448402411694	0.846	0.789	0.000208547424245711
ECHDC2	6.78019236372004e-09	-3.05752605509958	0.051	0.273	0.000221969937603467
SEC31A	7.00116150948338e-09	-1.31902613761694	0.147	0.401	0.000229204025497467
NDUFC1	7.30327137265858e-09	1.09801888419915	0.654	0.583	0.000239094498198097
DUSP6	7.59536784931556e-09	-2.77164177324788	0.051	0.274	0.000248657152650893
LAMB3	8.63675342916806e-09	-1.18601694418374	0.221	0.48	0.000282750033764104
HLA-C	9.80061924592343e-09	-0.728919690468985	0.669	0.794	0.000320852672873041
ITGAV	1.11559970524698e-08	-1.50455834668089	0.162	0.419	0.000365225031503758
ACTG1	1.12231131573828e-08	0.845941631928732	0.765	0.712	0.000367422278546398
CLSTN1	1.22242722948141e-08	-1.79844223222246	0.088	0.317	0.000400198226387623
SCPEP1	1.25549880097051e-08	-0.484300081492749	0.213	0.472	0.000411025197461726
ADPGK	1.45001044531376e-08	-2.59450371522821	0.074	0.294	0.000474704419586819
GNS	1.51951188783606e-08	-0.565068713224194	0.235	0.501	0.000497457801839768
PDK1	1.52136633550228e-08	-1.80465997242913	0.103	0.338	0.000498064910916736
SUN1	1.56248787892476e-08	-1.70577841135164	0.147	0.388	0.000511527281802387
RNMT	1.63568881007295e-08	-1.34654170655404	0.184	0.424	0.000535491802641684
CTBS	1.6503938227204e-08	-1.64958810465305	0.14	0.381	0.000540305929682206
DDT	1.69669204477563e-08	0.867277870522218	0.699	0.631	0.000555463041618645
AL589743.1	1.84985861062941e-08	-2.82655771234666	0.066	0.283	0.000605606711947857
C1R	2.20989941672974e-08	-0.921578117495413	0.162	0.411	0.000723476871048982
ZMYND8	2.28350703238165e-08	-1.2494927169766	0.213	0.469	0.000747574532261106
MAN1B1	2.28897791389992e-08	-1.61938343815627	0.059	0.279	0.000749365589452556
HERC4	2.29437334678871e-08	-1.3869838429393	0.14	0.39	0.000751131946271687
HLA-B	2.32857177628914e-08	-0.709631603167503	0.632	0.792	0.000762327828121538
SEC63	2.43795557757015e-08	-0.607211038726141	0.206	0.464	0.000798137896984915
HEXB	2.44679431421103e-08	-0.827688214288214	0.265	0.517	0.000801031522586408
P4HB	2.51395074385009e-08	-0.628503839306418	0.574	0.774	0.000823017194521641
TYMS	2.53314894935263e-08	2.23755076990217	0.324	0.173	0.000829302303039065
OGT	2.57484050125804e-08	-1.5669896638888	0.096	0.326	0.000842951283301859
SAT1	2.64832956276585e-08	-0.73899158341946	0.331	0.592	0.000867010132258283
TUBB	2.8424949256871e-08	1.25260359958582	0.64	0.617	0.000930575988771443
ZNF500	2.98759261169892e-08	-2.18931110811627	0.096	0.313	0.000978078069217991
SLFN5	3.13552611779553e-08	-0.6917757408623	0.25	0.521	0.0010265085404439
H2AFZ	3.15714040760189e-08	1.33634351292677	0.588	0.565	0.00103358462664071
CCT5	3.33256952174587e-08	1.46088584962701	0.654	0.612	0.00109101661002916
PDE4DIP	3.48559104791713e-08	-0.785335593145107	0.287	0.556	0.00114111279726711
NABP1	3.84760141419421e-08	-3.50398297540113	0.074	0.282	0.0012596277509789
STMN1	4.57289907631067e-08	2.0296180232711	0.397	0.259	0.00149707569960259
LOXL2	5.18955952464211e-08	-0.59515044237615	0.338	0.625	0.00169895799717733
MMP14	6.02841176543547e-08	-0.750476985049337	0.213	0.465	0.00197358144376827
TMEM165	6.70559625190491e-08	-0.561038725269844	0.206	0.461	0.00219527810094863
QSOX1	6.79306548835968e-08	-0.71620444346546	0.331	0.57	0.00222391377957919
FKBP9	6.82266936530997e-08	-0.57345712482512	0.272	0.513	0.00223360549681518
BSDC1	6.84851023497752e-08	-2.46339393928325	0.066	0.274	0.00224206528072694
APP	6.97158120494196e-08	-0.547683060973263	0.426	0.683	0.0022823562548739
RPS2	7.15061316170486e-08	0.680669540467926	0.853	0.85	0.00234096773687894
ZNF148	7.39867203876217e-08	-1.63405228083677	0.14	0.356	0.00242217725204996
ORMDL1	7.55566716391716e-08	-0.627999604471866	0.213	0.453	0.0024735743161232
ITGA2	8.66374624861073e-08	-1.46354292940623	0.169	0.399	0.00283633724687018
SLC11A2	8.72294422269019e-08	-2.35506183899984	0.066	0.268	0.00285571747962431
GOLGB1	9.11857904168845e-08	-0.337210594523975	0.324	0.589	0.00298524040666796
TFPI	9.3349307652338e-08	-0.519066016979917	0.331	0.629	0.00305606963392224
CFLAR	9.34482674521215e-08	-1.72820264407393	0.147	0.377	0.00305930937984755
HM13	9.6635348299549e-08	-0.651412234654587	0.279	0.523	0.00316364803263064
LUC7L3	9.66887842619426e-08	-1.02925999698572	0.25	0.506	0.00316539741916748
SEC24D	9.79917134356114e-08	-2.08929577208251	0.074	0.281	0.00320805271445505
MUM1	1.0690740853612e-07	-1.44610118536619	0.059	0.259	0.0034999347406555
TMED3	1.0727053576288e-07	-1.0386354195537	0.265	0.497	0.00351182279980516
SFXN3	1.0777240096545e-07	-1.56617358034709	0.066	0.271	0.00352825286280691
SMG1	1.09940770255028e-07	-1.35707466735895	0.132	0.354	0.00359924093660912
TNRC6B	1.13424315654846e-07	-1.41812090300823	0.176	0.414	0.00371328524590835
TXNIP	1.15942722443532e-07	-0.823228854300273	0.235	0.469	0.00379573284735636
DCBLD2	1.1660806960937e-07	-0.684010446586237	0.368	0.621	0.00381751498287155
DTWD1	1.28570563619356e-07	-1.39592962197326	0.125	0.332	0.00420914311177047
ZRANB2	1.317803592267e-07	-0.609184495764075	0.265	0.524	0.00431422540036372
SLCO1A2	1.33502083242971e-07	-0.634471610328599	0.551	0.777	0.0043705912012084
ALYREF	1.34040628074839e-07	2.41995656612803	0.294	0.152	0.00438822208191408
ADAM9	1.34508000061644e-07	-0.644027061291447	0.257	0.517	0.0044035229060181
DSTN	1.35626273114289e-07	0.883688852512048	0.669	0.623	0.00444013292921558
COL1A1	1.42004625216115e-07	-0.852173026736896	0.331	0.593	0.00464894742032516
ADAMTS6	1.4284660414259e-07	-2.24332207718999	0.074	0.276	0.0046765121264201
TCF25	1.43887827230378e-07	-1.08390314348049	0.199	0.431	0.00471059968786812
GBA	1.44265743058827e-07	-1.10580444267326	0.169	0.387	0.00472297189625989
DOCK5	1.46223810573018e-07	-1.47812733646264	0.206	0.433	0.00478707511053945
GOLGA8A	1.53872648601421e-07	-2.9799284300665	0.096	0.299	0.0050374827699133
APLP2	1.5651482235249e-07	-1.03976271123636	0.176	0.41	0.00512398225417583
ZNF841	1.60513641890273e-07	-2.48686900491121	0.096	0.297	0.00525489560820375
RCN2	1.69461819815195e-07	-0.852093658931235	0.309	0.546	0.00554784105710987
CENPH	1.69977487910947e-07	2.27621793205402	0.257	0.121	0.00556472299922857
COL6A1	1.84563893742587e-07	-1.52223573336912	0.125	0.334	0.00604225275334482
UBE2S	1.94534590683826e-07	2.35033107470401	0.412	0.301	0.00636867342980709
PCSK7	1.96800940207713e-07	-2.17118071986462	0.059	0.257	0.00644286918052012
ITM2B	2.06743839768079e-07	-0.827223921982111	0.404	0.613	0.00676837982632738
GAPDH	2.0969924669023e-07	0.593111917598597	0.912	0.879	0.00686513393814474
ANP32B	2.10994370388255e-07	2.45368226797878	0.441	0.32	0.00690753369777069
LRPAP1	2.12943796668818e-07	-0.963128065961045	0.257	0.498	0.00697135401534377
SLC35E1	2.1942095011472e-07	-1.0805128540073	0.103	0.311	0.00718340306485569
REEP5	2.57744957586505e-07	-0.420690057370141	0.169	0.397	0.00843805442146701
SLC16A3	2.62073814493492e-07	-0.744063096161544	0.375	0.611	0.00857977253888794
PLD3	2.79452335914275e-07	-0.920932971030537	0.206	0.427	0.00914871057316152
RCN1	3.01119392400359e-07	-0.613394117820368	0.368	0.616	0.00985804666840294
CPD	3.04091132188881e-07	-0.921196547217803	0.118	0.338	0.00995533548559957
LAMA4	3.26718239468041e-07	-0.631907602619028	0.206	0.462	0.0106961017237047
PDIA3	3.36873345542992e-07	-0.574040559399162	0.456	0.689	0.0110285595863865
APOLD1	3.40643736774436e-07	-2.7963245181385	0.081	0.271	0.0111519946545215
OS9	3.41603441637456e-07	-0.536054514658656	0.824	0.903	0.011183413472327
RNF213	3.48465401175245e-07	-1.27228140348978	0.191	0.406	0.0114080603036752
SHPRH	3.54912319871903e-07	-2.09908030008603	0.059	0.25	0.0116191195279664
ZNF451	3.61499120683055e-07	-1.00656579785682	0.096	0.298	0.0118347582129218
DHFR	3.64304920672763e-07	1.85996096500269	0.279	0.139	0.0119266144929849
ARGLU1	3.72355633856639e-07	-1.31061801155388	0.169	0.384	0.0121901787411987
AGRN	3.73614751456569e-07	-0.600431428699603	0.132	0.349	0.0122313997331852
RP6-99M1.2	3.76935268449368e-07	-1.28699406041683	0.11	0.324	0.0123401068184954
ADAMTS2	3.84930498287663e-07	-0.601173785192331	0.096	0.305	0.0126018546529415
ANKLE2	3.86881322487095e-07	-1.23541151027853	0.162	0.393	0.0126657207355825
SLC33A1	4.43022837711362e-07	-0.648073342287328	0.088	0.285	0.0145036816609946
HOOK3	4.44848541406053e-07	-0.923922859313624	0.162	0.386	0.0145634515485514
SRPX2	4.4677142028258e-07	-1.42730728507154	0.066	0.266	0.0146264027572111
FUS	4.78864081727423e-07	-0.967294263393626	0.228	0.478	0.0156770523075924
SMPD1	4.87343917073688e-07	-1.1133826747717	0.088	0.29	0.0159546651571584
UGGT1	4.90068810566007e-07	-1.50411855825018	0.096	0.299	0.0160438727203099
CTSD	5.35103972702734e-07	-0.423607380324087	0.581	0.747	0.0175182338583421
GOPC	5.47782372418307e-07	-2.37175239577173	0.074	0.26	0.0179332993082305
MDM4	5.72155125746404e-07	-0.934576227025188	0.088	0.289	0.0187312145066858
MEG3	5.75336778782466e-07	-3.26740321513154	0.103	0.294	0.0188353754637804
SPOCD1	6.00564016505649e-07	-1.41459317651975	0.096	0.293	0.0196612647723619
DRAM1	6.19456235870634e-07	-0.868877790258251	0.206	0.423	0.0202797582499328
THBS2	6.33756431678735e-07	-1.15443410526673	0.096	0.294	0.0207479180602984
MIR29A	6.38587303500429e-07	-2.50246295491387	0.081	0.268	0.0209060711419971
ARHGAP22	6.63305696325293e-07	-1.23811455033703	0.169	0.374	0.0217153018862975
TM2D3	6.88935272930743e-07	-0.597514549331605	0.228	0.465	0.0225543629652067
GATAD1	7.03145875959212e-07	-1.25736943655809	0.154	0.357	0.0230195896871527
TSPYL4	7.05311110372772e-07	-0.607435063151733	0.243	0.48	0.0230904751313838
S100A10	7.49977214550111e-07	0.791027792578181	0.706	0.661	0.0245527540499415
SRSF11	7.92157296183517e-07	-0.959058326169461	0.279	0.528	0.025933645562456
AGO3	8.00303261736004e-07	-2.67490980529426	0.074	0.254	0.0262003281827133
RND3	8.14133587600281e-07	-0.348141799745391	0.5	0.722	0.026653105390858
DDIT4	8.1843140656341e-07	-0.59610598374862	0.176	0.393	0.0267938073880729
ASH1L	8.37272913759167e-07	-1.17695569414547	0.191	0.415	0.0274106406506476
CLIP4	8.4650161773629e-07	-2.85644584432319	0.081	0.26	0.0277127699614507
IGF2BP2	8.83809468189423e-07	-0.735393272705292	0.272	0.521	0.0289341543695853
TAOK1	9.40721978244306e-07	-1.42427417645842	0.184	0.387	0.0307973561237621
ATP2B1	9.5166922537092e-07	-0.560937712977128	0.544	0.747	0.0311557471001932
RWDD1	9.60734410220506e-07	0.748174645891056	0.75	0.734	0.0314525231217989
SETD5	9.7064826797253e-07	-1.45411059447018	0.162	0.358	0.0317770829968847
KDM5A	9.75682558580965e-07	-0.680777886729838	0.25	0.485	0.0319418956028236
ITFG3	9.91648042942398e-07	-0.527296457935252	0.132	0.339	0.0324645736298482
DPP7	9.95249933013693e-07	-0.697164965240555	0.14	0.35	0.0325824923070023
LYZ	1.00407861553638e-06	0.757187290966212	0.713	0.698	0.0328715257154299
ITGA3	1.00657248138445e-06	-0.63667172367149	0.397	0.641	0.0329531698955641
ANXA2	1.07497501959891e-06	0.910521870754502	0.669	0.686	0.0351925321916292
EIF4G3	1.1233243268552e-06	-0.397028200343673	0.191	0.414	0.0367753918125854
NF1	1.13708150979498e-06	-0.822945280596517	0.147	0.355	0.0372257744676681
ZMYM2	1.15076762054588e-06	-2.65224667658971	0.081	0.266	0.0376738303614311
ZNF37A	1.17440543696045e-06	-1.22405787608128	0.154	0.369	0.0384476851952111
VIMP	1.20656358943371e-06	-1.00742085886181	0.206	0.426	0.0395004787908809
PRPF38B	1.20886904787676e-06	-1.30326410875125	0.176	0.382	0.0395759548893894
LEPRE1	1.22900869926987e-06	-1.66310379138883	0.074	0.26	0.040235286796697
ARL4C	1.3413005530436e-06	-0.338801510286769	0.154	0.364	0.0439114975055415
CD68	1.36168644288217e-06	-0.743002695638532	0.279	0.513	0.0445788907670763
P2RX4	1.37159133700617e-06	-0.586590084088255	0.088	0.276	0.044903157190908
TRIM38	1.38688848176543e-06	-1.63898261919769	0.11	0.309	0.0454039551160367
XIAP	1.40366255069284e-06	-0.529751124776509	0.191	0.404	0.0459531045845821
HSPA5	1.44325490405897e-06	-0.558586482798207	0.412	0.681	0.0472492790490826
TRIM56	1.4543300910255e-06	-1.40560942649937	0.074	0.258	0.0476118585199927
FAM63B	1.48542305978864e-06	-0.476375239238013	0.088	0.288	0.0486297801313604
BCLAF1	1.49051585753392e-06	-1.09511158186788	0.199	0.417	0.0487965081439453
FRMD4A	1.57764425356928e-06	-2.28086129401569	0.096	0.279	0.051648917573351
PTGES3	1.6257947273848e-06	1.17980218469366	0.551	0.522	0.0532252677851237
IER3	1.64248760043052e-06	-0.515476556898801	0.566	0.795	0.0537717590628944
SEMA3C	1.65574169104107e-06	-0.40592298418284	0.235	0.469	0.0542056714813025
TNFAIP3	1.67302716243049e-06	-0.418237916964324	0.14	0.334	0.0547715632436492
AFF4	1.78662407103972e-06	-0.740669650087732	0.228	0.459	0.0584904988376985
HCG18	1.79212745514679e-06	-1.39370864517907	0.088	0.274	0.0586706686265955
PARP14	1.92653751799786e-06	-1.42961309204312	0.096	0.281	0.0630709852642139
DST	1.92941674588361e-06	-0.714575767731217	0.471	0.723	0.0631652454267377
SDF4	2.01365655181704e-06	-0.406761549082395	0.294	0.528	0.0659230881933862
UGCG	2.03029443476207e-06	-0.867781259193117	0.191	0.406	0.0664677792052406
MAP1B	2.07185448859449e-06	1.51913840278094	0.743	0.784	0.0678283722476063
ANPEP	2.1529625271837e-06	-0.484691301042615	0.426	0.681	0.0704836872149399
NRP2	2.24899579768509e-06	-0.674793365397254	0.257	0.479	0.0736276244246146
NUCKS1	2.27699399289284e-06	1.4285501596932	0.537	0.507	0.0745442293393257
SCOC	2.28971489251873e-06	1.27678745668697	0.574	0.538	0.0749606861512782
HSPB1	2.3545543603502e-06	0.944485546806816	0.654	0.607	0.0770834006491449
TRIP11	2.43528489835679e-06	-1.61666077670393	0.118	0.314	0.0797263570024045
MTRNR2L8	2.48861043942299e-06	-0.416578970264984	0.368	0.638	0.0814721285658297
ANKS3	2.59388419685419e-06	-1.06022875213304	0.228	0.452	0.0849185808366125
RIF1	2.80418365338263e-06	-1.11107631428402	0.184	0.391	0.0918033644444407
GCC2	2.87305862617038e-06	-0.551950808824461	0.213	0.438	0.0940581933035657
METTL21B	2.89397416062532e-06	-0.633018653747917	0.25	0.462	0.0947429260705517
SEC61A1	2.91408218576737e-06	-0.38216282771882	0.309	0.557	0.0954012225976522
IMMP2L	2.93996546020981e-06	-0.471876455118088	0.103	0.294	0.0962485892363486
LRP12	2.94004899812237e-06	-0.646459506170884	0.191	0.404	0.09625132410053
NFAT5	2.95529332240889e-06	-0.761034735578162	0.191	0.397	0.0967503927890224
BSG	3.01258472481764e-06	-0.608520490870896	0.419	0.629	0.0986259987210798
NRP1	3.02362424061812e-06	-0.443597740782862	0.272	0.503	0.0989874103893561
NPEPPS	3.06913622124971e-06	-0.822825783381227	0.191	0.399	0.100477381611273
SACS	3.17673289421059e-06	-1.69585927668716	0.103	0.284	0.103999881490666
USP9X	3.18110250655012e-06	-0.431119953859238	0.199	0.425	0.104142933859438
PCMTD1	3.2385130087769e-06	-0.960680944653669	0.118	0.309	0.106022438881338
UBE2T	3.26403180669851e-06	2.44507149887159	0.25	0.133	0.106857873287696
HLA-A	3.30827694601983e-06	-0.542300277179003	0.721	0.831	0.108306370658797
COL6A2	3.33372746080737e-06	-1.07347514357816	0.184	0.384	0.109139569611912
HERPUD1	3.33678197770243e-06	-0.458143668413183	0.14	0.341	0.109239568386022
TCTN1	3.4028081446796e-06	-0.465078857714863	0.243	0.474	0.111401133040521
GALNT2	3.47464936349096e-06	-0.981934065909728	0.191	0.399	0.113753070861967
UCHL1	3.49680849300835e-06	0.712114261933909	0.669	0.673	0.114478516444107
PTTG1	3.64731587530166e-06	2.29360116163434	0.324	0.209	0.119405827125626
CLN8	3.76875077114625e-06	-1.76982602175851	0.11	0.287	0.123381362745786
