p_val	avg_log2FC	pct.1	pct.2	p_val_adj
KPNB1	3.00757084897091e-190	0.651952386645033	0.95	0.793	9.84618544536096e-186
FABP5	8.86395498515832e-190	1.00802765651357	0.783	0.458	2.90188158304113e-185
CFL1	1.07915832133983e-188	0.535303917342878	0.967	0.843	3.53294851240235e-184
HMGN1	1.52767330320718e-187	0.742424515862839	0.926	0.703	5.00129686003966e-183
PTTG1	5.06636937469643e-186	0.857616368461663	0.854	0.526	1.65862800588812e-181
HMGB2	5.77326945536737e-186	1.22887206344672	0.565	0.23	1.89005295429817e-181
SNRPB	8.12902327681584e-184	0.741944134012155	0.902	0.686	2.66127964036397e-179
MT-CO3	2.92370478487074e-182	-1.14396794766118	0.997	0.994	9.57162472470983e-178
KIF23	5.94523508880421e-182	1.36889738233779	0.526	0.208	1.94635106337272e-177
CDK1	8.25551265572732e-182	1.37738982222129	0.524	0.207	2.70268973323201e-177
SPC25	9.22361679415112e-182	1.56910239089082	0.453	0.152	3.01962766606919e-177
SNRPD3	2.15769565627348e-181	0.662899995897541	0.922	0.744	7.06386403950811e-177
C1QBP	1.01863975199998e-180	0.824675514438646	0.874	0.628	3.33482282009753e-176
ANLN	4.42704512985084e-179	0.956452096080395	0.688	0.335	1.44932603461057e-174
NOP56	1.03650482691325e-177	0.828558525930599	0.855	0.574	3.39330950234859e-173
SRSF3	2.07231796423072e-177	0.85012848781827	0.844	0.561	6.78435455129855e-173
MT-CYB	2.96573176437507e-177	-1.10167361390321	0.992	0.99	9.70921265021109e-173
GTSE1	2.39666253103508e-176	1.20074209748838	0.56	0.236	7.84619379410266e-172
TUBA1C	1.75337457205029e-174	0.82180595577528	0.869	0.633	5.74019767397824e-170
CALM2	6.32970601467951e-174	0.693828980850195	0.922	0.749	2.07221915508578e-169
CENPF	2.30052934582703e-170	0.78653391998254	0.809	0.506	7.53147297236853e-166
AURKA	1.14498672168557e-169	1.45304499924739	0.546	0.24	3.74845752945422e-165
TPM3	1.48657124800647e-169	0.630271451071772	0.945	0.768	4.86673695172359e-165
CKS2	8.6435792965743e-169	1.13937925839025	0.667	0.359	2.82973499011249e-164
ESCO2	1.36464581485608e-168	1.23768653666563	0.493	0.185	4.46757746867583e-164
CCND3	1.89546880288258e-167	0.784212204665736	0.88	0.625	6.20538576687698e-163
ILF2	3.04498512572096e-167	0.953338848840951	0.76	0.46	9.96867230458529e-163
UQCC2	1.03442610269448e-166	0.597344472356886	0.96	0.794	3.38650417500118e-162
HN1	1.21260386331873e-166	0.872279303697182	0.825	0.531	3.96982252773286e-162
MT-ND4	1.71078701849912e-166	-0.942207822074314	0.996	0.992	5.60077454116242e-162
CKAP2	5.89894320855054e-165	1.22428771524706	0.614	0.308	1.93119602761527e-160
DUT	1.23018533382249e-164	0.849273309372641	0.82	0.529	4.02738074586807e-160
HSPE1	9.87691503286303e-164	0.616986526383999	0.942	0.764	3.2335044434587e-159
PRELID1	2.84720866404035e-162	0.609458985090377	0.946	0.751	9.32119172433528e-158
KPNA2	2.86633618355391e-162	1.15387560394362	0.641	0.338	9.38381139771878e-158
PPM1G	1.65424772266876e-161	0.764341252764062	0.852	0.586	5.41567619447300e-157
CEP55	2.29631082041407e-161	1.14909199229999	0.543	0.231	7.51766236387157e-157
PDAP1	7.98288788657055e-161	0.692973042203155	0.908	0.673	2.61343783630547e-156
ENO1	1.65956643400728e-160	0.49195426883457	0.969	0.873	5.43308859165304e-156
TK1	3.4073015016695e-160	1.0974507592775	0.646	0.328	1.11548236561656e-155
RAD21	5.65911639901054e-160	0.836041033741794	0.827	0.554	1.85268152670807e-155
MAD2L1	6.59979175388269e-160	1.20756977052716	0.542	0.233	2.16063982438611e-155
CCNA2	1.02278717897728e-159	1.49370265534337	0.438	0.156	3.34840066653582e-155
MYBL2	1.05533684131221e-159	1.27704969880695	0.495	0.195	3.45496175108792e-155
HSPA8	7.27673933951468e-159	0.587444809951606	0.939	0.812	2.38225892497031e-154
CDC20	7.93714156177018e-159	1.33303953733706	0.477	0.186	2.59846140449232e-154
RP11-620J15.3	1.78961253726616e-158	0.733279915799158	0.919	0.704	5.85883352450195e-154
ANP32E	1.88841461705274e-158	0.862996577090097	0.777	0.474	6.18229177330726e-154
SSRP1	1.7475918733447e-157	0.818813583556364	0.825	0.547	5.72126627495589e-153
DBF4	3.0358782953574e-154	1.19501123849016	0.553	0.251	9.93885836334107e-150
KIF11	9.72566973216107e-154	1.32893351298355	0.43	0.151	3.18398975691489e-149
SOD2	1.45942571507132e-153	-1.11372722470553	0.887	0.88	4.77786790600049e-149
SMS	3.15767942704034e-153	0.676717386289332	0.928	0.712	1.03376109082447e-148
MT-CO1	2.34456724430956e-152	-0.982758161497019	0.998	0.996	7.67564424442063e-148
H3F3A	3.28216816956663e-152	0.619906482617758	0.916	0.722	1.07451621535273e-147
SHCBP1	3.54403336403242e-152	1.22933797618802	0.493	0.199	1.16024564271693e-147
KIF2C	1.44939343477626e-149	1.30502747410897	0.419	0.146	4.74502422677052e-145
MT-ATP6	4.52369930892201e-149	-1.12574631663817	0.997	0.993	1.48096867975489e-144
SUMO2	4.89977570865965e-147	0.616651163658724	0.921	0.706	1.604088571501e-142
HJURP	6.44944491226727e-147	1.2345975805612	0.436	0.161	2.11141927537806e-142
KIF4A	1.46789298714578e-146	1.20304944486822	0.448	0.168	4.80558806131785e-142
PLK1	2.40012362741539e-146	1.38764843442925	0.436	0.166	7.85752473143251e-142
TMEM106C	5.84734537770962e-146	0.835713946088252	0.784	0.489	1.91430392975458e-141
YBX1	9.99920269072654e-145	0.473386735221688	0.982	0.849	3.27353897689005e-140
SNRPG	1.48705635207381e-144	0.682905528410178	0.892	0.649	4.86832508541925e-140
MMP2	5.01027673189442e-144	-0.6853452867568	0.93	0.914	1.6402643964876e-139
SLC25A5	8.46579875791914e-144	0.661809061219983	0.886	0.678	2.77153319736757e-139
MT-CO2	1.85392842429737e-143	-1.02871499514379	0.996	0.994	6.06939087546473e-139
LDHB	1.90330369894173e-143	0.529926862810102	0.953	0.804	6.23103564959543e-139
ALYREF	1.92466056058928e-143	1.11514524842481	0.588	0.296	6.30095374325717e-139
RPL41	3.9682959305321e-143	0.410389390230477	0.989	0.92	1.2991407217376e-138
MT-ND1	1.31257828997535e-141	-1.11497009066381	0.984	0.983	4.29711880572129e-137
PRR11	1.68635484348609e-141	1.19701605084494	0.466	0.191	5.52078848660475e-137
LSM2	3.23353770761165e-141	0.908846110900835	0.713	0.415	1.0585955747179e-136
CMSS1	8.92567255704759e-141	0.900863741472643	0.709	0.411	2.92208668172624e-136
PPP1R14B	2.78199007552439e-140	0.621077467299736	0.925	0.724	9.10767910925174e-136
SNRPE	3.3432200910561e-139	0.687151064362188	0.86	0.598	1.09450339340995e-134
ODC1	7.41530072676084e-139	1.1699319164953	0.525	0.241	2.42762115192696e-134
VIM	3.86918494235825e-138	0.435602613865462	0.981	0.909	1.26669376642924e-133
CENPW	5.95401454626874e-138	0.984078822759253	0.612	0.31	1.94922528215746e-133
CSE1L	1.09856997001127e-137	0.857760661592063	0.694	0.399	3.59649836782288e-133
FBL	1.60024065885157e-137	0.789467187627864	0.747	0.459	5.23886786894827e-133
ANP32B	1.6114831048138e-137	0.760893046190338	0.81	0.533	5.27567338853942e-133
MCM7	3.53654144339549e-137	0.851029456723022	0.661	0.353	1.15779293773881e-132
DKC1	3.4068536987746e-136	0.841193279351065	0.677	0.386	1.11533576390483e-131
KIF20B	8.00015599218607e-136	0.821805498185334	0.63	0.331	2.61909106872187e-131
USP1	5.69090483395194e-135	0.913431759185925	0.671	0.369	1.86308842453919e-130
VPS29	1.61927884852684e-133	0.554980718368176	0.935	0.791	5.30119509430717e-129
NDC80	2.31121747920205e-133	1.25346133175962	0.408	0.153	7.56646378341169e-129
CACYBP	7.22326617039307e-133	0.679257085068726	0.875	0.642	2.36475287886328e-128
ASF1B	2.18023384281281e-132	1.18480955734482	0.459	0.189	7.13764955460057e-128
STRA13	9.85445258021518e-132	0.674679953433961	0.849	0.592	3.22615068571085e-127
H2AFV	1.30843255423216e-131	0.744659953015521	0.825	0.546	4.28354649604525e-127
LYAR	1.46702116003517e-130	1.06392949452813	0.528	0.254	4.80273387372314e-126
LSM3	2.57311807834335e-130	0.707786495985058	0.845	0.569	8.42387396488046e-126
VDAC3	3.59949901642414e-130	0.710898312724275	0.82	0.573	1.17840398799693e-125
CCNB2	5.93347214648301e-130	1.33343356839734	0.412	0.159	1.94250011131561e-125
DHFR	8.57311517507351e-130	0.909797660520639	0.656	0.36	2.80666644601556e-125
NCAPD2	1.31533802973506e-129	0.999767725792397	0.525	0.243	4.30615364174663e-125
HNRNPA1	1.35208363528646e-129	0.639478622955664	0.891	0.663	4.42645140520083e-125
MIS18A	1.46867236290529e-129	1.02151841317801	0.527	0.25	4.80813958167932e-125
HNRNPD	1.6471602351574e-129	0.739118686994813	0.815	0.546	5.3924731778583e-125
PSAP	2.18551370785801e-129	-1.013638904488	0.802	0.831	7.15493477678555e-125
SPDL1	6.9201348892422e-129	1.0649379319529	0.513	0.237	2.26551376004011e-124
AURKB	1.54707931144102e-128	0.95569315501406	0.437	0.169	5.06482824979562e-124
HIST1H1B	4.74694629750578e-128	1.99382903114967	0.267	0.067	1.55405527887744e-123
RNASEH2A	2.77716615657286e-127	0.913676277190355	0.584	0.293	9.09188656338823e-123
CENPA	2.93123598773761e-127	1.58103434611181	0.332	0.106	9.59628037665539e-123
CLGN	6.71465001957388e-127	0.639793075955962	0.914	0.705	2.1982421234081e-122
PPIA	7.0189881585083e-127	0.427812316395154	0.971	0.873	2.29787634333245e-122
RAC1	2.1452854432912e-126	0.557182448289443	0.932	0.751	7.02323548424674e-122
ASPM	2.41934167295874e-126	0.559870417655512	0.619	0.327	7.92044076893231e-122
PARP1	5.26152216080671e-126	0.732637410746203	0.782	0.499	1.7225171250049e-121
DEPDC1	1.09034036567518e-125	1.2184937033417	0.434	0.18	3.56955628914741e-121
CKAP2L	2.07771106730719e-125	1.07454753963119	0.407	0.154	6.80201049215029e-121
RAD51AP1	1.11239732666475e-124	1.12451552911227	0.45	0.189	3.64176636803505e-120
HDGF	1.42129106053877e-124	0.729932550274062	0.832	0.57	4.65302267399182e-120
BYSL	1.60595077352969e-124	0.965720722594447	0.599	0.321	5.25756164238149e-120
XRCC6BP1	2.58549076217267e-124	1.0139855051673	0.566	0.289	8.46437965720088e-120
SNRPF	2.65303952110713e-124	0.657560466291191	0.844	0.586	8.68552078420051e-120
YWHAH	1.41719327668945e-123	0.791968645664373	0.752	0.49	4.63960734922591e-119
NUF2	2.55525549740695e-123	1.33644715133746	0.35	0.121	8.36539544741087e-119
CBX3	3.91840282207246e-123	0.555970466150854	0.92	0.739	1.28280671589008e-118
CENPM	4.69207705191422e-123	0.990556768704366	0.533	0.254	1.53609218525568e-118
ECT2	6.02723902973544e-123	1.02214892096071	0.524	0.253	1.97319751355479e-118
CDCA3	4.15121552967423e-122	1.30555716216619	0.374	0.137	1.35902494010475e-117
NME1	5.09164183319203e-122	0.659012827543286	0.861	0.614	1.66690170335041e-117
TACC3	9.60075341312408e-122	1.04625391215155	0.435	0.179	3.14309465238856e-117
FOSL1	2.38682184929249e-121	0.75606320286188	0.748	0.48	7.81397737021375e-117
DYNLL1	1.70532182527482e-120	0.541992771164013	0.949	0.774	5.58288259158472e-116
BUB1B	3.12149364777033e-120	1.23683668506476	0.357	0.126	1.02191459040705e-115
HNRNPU	6.07126506407992e-120	0.608926488441772	0.885	0.679	1.98761075667848e-115
CDCA8	1.44634440192555e-119	1.23196315972139	0.337	0.113	4.73504230302387e-115
FAM216A	2.45402795514186e-119	0.812916890976155	0.651	0.366	8.03399671954341e-115
LSM4	3.75867769441167e-119	0.697685978326518	0.822	0.552	1.23051590359649e-114
SMC2	4.26146505106824e-119	0.779127658922785	0.594	0.307	1.39511842841872e-114
DDX21	1.36808004064437e-118	0.732916163017243	0.73	0.464	4.47882043706153e-114
POP7	2.11342867871783e-118	0.811094474892321	0.691	0.404	6.91894280838642e-114
CDV3	2.62826149650346e-118	0.672543132064586	0.83	0.573	8.60440248725304e-114
NAA15	2.73280997347789e-118	0.708115506028096	0.786	0.532	8.94667329117191e-114
XRCC5	3.6413539217306e-118	0.610943219091028	0.878	0.675	1.19210644689616e-113
HNRNPC	7.96412491388861e-118	0.57998268477137	0.9	0.687	2.60729521430885e-113
LMNB2	7.6730556389426e-117	0.801927575414788	0.635	0.353	2.51200495507703e-112
HNRNPM	1.66857349878353e-116	0.663743203809334	0.821	0.569	5.46257592031751e-112
PCNA	2.68085959677647e-116	0.814624616319583	0.669	0.385	8.7765981479268e-112
NHP2	3.00768509856993e-116	0.666452229035666	0.844	0.592	9.84655947569824e-112
MRPL12	3.7303394557129e-116	0.82514617504022	0.712	0.442	1.22123853101129e-111
CENPE	4.18989734742952e-116	0.934414452373544	0.427	0.178	1.37168859360148e-111
SSR3	3.3002236642517e-115	0.530510323132682	0.934	0.755	1.08042722320272e-110
SRM	6.95669062427726e-115	0.672181241029541	0.814	0.548	2.27748137657589e-110
RPS26	9.44702307228176e-115	0.515046738899557	0.929	0.759	3.0927664134036e-110
KHDRBS1	1.28206827390633e-114	0.64429224701731	0.823	0.584	4.19723511511453e-110
PSMA4	1.7252183331673e-114	0.560133507442453	0.914	0.733	5.64801977912311e-110
SCOC	2.52326656461162e-114	0.643880268096391	0.848	0.603	8.26067007922552e-110
DLGAP5	6.19531759394957e-114	1.105480924717	0.378	0.145	2.02822307390721e-109
GSPT1	6.39770168256074e-114	0.648155940301184	0.834	0.589	2.09447957683674e-109
CBX1	6.57193280307996e-114	0.73742611614021	0.73	0.45	2.15151936107232e-109
CENPN	7.02622724675525e-114	1.06281864669691	0.486	0.228	2.30024627604273e-109
CTNNAL1	1.18868861346123e-113	0.781136024833646	0.714	0.434	3.89152878274938e-109
UBE2M	2.95614100559167e-113	0.691797052685817	0.797	0.54	9.67781442410599e-109
ERH	3.77293358225141e-113	0.618766513668477	0.865	0.623	1.23518299615747e-108
CCT4	6.33426894471522e-113	0.63784710408579	0.844	0.598	2.07371296712087e-108
UAP1	1.11357316015228e-112	0.888637566195353	0.598	0.333	3.64561581170653e-108
FEN1	2.14459259921662e-112	0.906065433356354	0.502	0.238	7.02096725131537e-108
CENPK	2.9421711524108e-112	0.970226749641639	0.481	0.225	9.63207991876247e-108
SIVA1	7.80351739861749e-112	0.765509206169743	0.708	0.434	2.55471552595939e-107
MRTO4	1.43957867862633e-111	0.842949396676906	0.604	0.335	4.71289267808689e-107
CLSPN	4.4420712205657e-111	0.830257991523355	0.563	0.29	1.4542452761888e-106
EZR	5.47354330640595e-111	0.87869307584097	0.564	0.297	1.79192860765118e-106
KIFC1	6.84142671550064e-111	1.27044325869477	0.311	0.102	2.2397462781206e-106
PSMD12	6.90221840885035e-111	0.673225829737974	0.801	0.546	2.25964826268943e-106
CHCHD2	1.05486760217951e-110	0.441124211320882	0.958	0.817	3.45342555601527e-106
CDC45	1.16496204106246e-110	1.26244554722712	0.353	0.131	3.8138527300303e-106
NCAPH	1.62375896769293e-110	1.29866132461148	0.337	0.12	5.31586210843312e-106
RFC2	1.71196309749098e-110	0.886934320666123	0.538	0.274	5.60462478856596e-106
HNRNPR	1.9531737367363e-110	0.613190632810518	0.825	0.591	6.39430017932729e-106
BUB1	3.81486222409086e-110	1.02335116078677	0.396	0.16	1.24890959492286e-105
PSMD2	3.87672259958176e-110	0.418955451646302	0.957	0.857	1.26916144465108e-105
TCEA1	8.90362967535227e-110	0.630601864309135	0.861	0.619	2.91487028311683e-105
TIMM13	1.11769028007644e-109	0.613264004631596	0.877	0.648	3.65909443891424e-105
FAM83D	2.34666687004764e-109	1.40063487979906	0.294	0.095	7.68251799916195e-105
HNRNPA2B1	3.10200638823174e-109	0.418579020923467	0.959	0.881	1.01553485137931e-104
PSMC5	7.03098742074237e-109	0.597505378068347	0.86	0.63	2.30180466180264e-104
SRSF7	1.35877633890384e-108	0.624822305826336	0.769	0.508	4.4483619783034e-104
CENPH	2.66155451203494e-108	0.942742429294963	0.507	0.248	8.7133971615e-104
KNSTRN	4.47464725682064e-108	1.23913476770169	0.357	0.136	1.46491001893794e-103
CENPU	6.89375335015692e-108	1.14249712441279	0.384	0.155	2.25687697177437e-103
EIF4EBP1	1.01847182105197e-107	0.616119465133825	0.854	0.596	3.33427304775994e-103
EEF2	1.63626112466355e-107	0.423060905262953	0.961	0.849	5.35679166992352e-103
FOXM1	3.53106169320837e-107	0.844164691395172	0.517	0.253	1.15599897712256e-102
YWHAE	4.79936551064694e-107	0.495172798204848	0.956	0.774	1.57121628087559e-102
KIAA1524	5.04582903215292e-106	0.955438678517797	0.403	0.167	1.65190350854622e-101
NUDC	8.76321501629892e-106	0.617972662303237	0.824	0.592	2.86890133203594e-101
XRCC6	4.3173365980966e-105	0.541295593251426	0.877	0.678	1.41340965548486e-100
NRG1	5.01176889145476e-105	0.922883326954842	0.589	0.338	1.64075289968446e-100
WBP11	5.33349411482425e-105	0.81500987960379	0.589	0.324	1.74607930331116e-100
FBXO5	5.64383169826027e-105	1.08161203901067	0.359	0.137	1.84767762137645e-100
RRM1	8.2670125849628e-105	0.800890764163848	0.608	0.338	2.70645458006512e-100
ASUN	1.33936172271507e-104	0.878044343900485	0.611	0.35	4.3848024078246e-100
EEF1E1	2.18709791387103e-104	0.789658333914254	0.643	0.381	7.16012115043099e-100
MT-ND5	2.61685553651986e-104	-0.985654003043754	0.976	0.972	8.5670616554587e-100
ECI2	7.67107227122359e-104	0.628797028238074	0.83	0.577	2.51135564015318e-99
CTSD	9.04532387251824e-104	-0.642969852971893	0.934	0.911	2.96125812938502e-99
RBM8A	9.67683731365779e-104	0.658645797789369	0.759	0.512	3.16800299974529e-99
ACTN4	1.27139781252213e-103	0.519002150700209	0.904	0.715	4.16230215863496e-99
LRRC59	1.98454221226548e-103	0.749431073287181	0.729	0.471	6.49699429451473e-99
KIF14	2.36324181945068e-103	0.933758431785011	0.366	0.146	7.73678106851764e-99
TUBB6	7.47164454738696e-103	0.590060735309804	0.867	0.639	2.44606699192354e-98
GMNN	1.2428698348032e-102	0.936890775776679	0.488	0.237	4.06890726517871e-98
CCT3	1.29825319375946e-102	0.551480525400352	0.872	0.669	4.25022130572971e-98
TAGLN2	3.79335584211633e-102	0.508681509908934	0.933	0.746	1.24186883559204e-97
RPA3	4.35077712567713e-102	0.671430758244831	0.736	0.467	1.42435741540418e-97
EIF3J	6.35240039559172e-102	0.663019400894326	0.754	0.498	2.07964884150882e-97
SNRPC	1.01682070237079e-101	0.591609155880246	0.841	0.607	3.32886761542151e-97
SMC1A	1.01828553709582e-101	0.587583687937168	0.755	0.499	3.33366319134429e-97
POLR3K	1.26436872320894e-101	0.990688079939186	0.491	0.249	4.13929032604144e-97
ORC6	2.41183509852185e-101	0.570081035274874	0.602	0.317	7.89586574554083e-97
RANGAP1	3.95563645729467e-101	0.672270859365366	0.56	0.297	1.29499626338913e-96
GLO1	4.05974447607539e-101	0.693682331550408	0.732	0.471	1.32907914657756e-96
U2AF1	4.75356515976302e-101	0.560847530834594	0.826	0.6	1.55622216200322e-96
DDX39A	6.08577090704523e-101	0.902546488375501	0.51	0.256	1.99235967954847e-96
HNRNPK	1.05282451793602e-100	0.554145788133321	0.898	0.698	3.44673690681894e-96
PFDN2	1.50272195508591e-100	0.595154500378804	0.845	0.613	4.91961113656025e-96
EIF6	1.52636970130588e-100	0.60231661859942	0.819	0.588	4.99702912813518e-96
SNAPC1	1.58895017426311e-100	0.822145609659967	0.603	0.352	5.20190508050256e-96
AGPAT9	2.22889845375675e-100	0.687304086556825	0.666	0.402	7.29696775790885e-96
RPSA	4.45756029990598e-100	0.388755516131263	0.967	0.848	1.45931609098322e-95
RACGAP1	5.35990677320884e-100	1.05101299250804	0.426	0.196	1.75472627941311e-95
GCLM	5.92539635712775e-100	0.647537771335832	0.759	0.497	1.93985625939648e-95
SKA2	7.81248904085716e-100	0.812764596194515	0.612	0.348	2.55765266219582e-95
ITGB3BP	2.18214039286332e-99	0.794997934687526	0.53	0.276	7.14389121815594e-95
RSL1D1	1.16832745004985e-98	0.706375191841494	0.696	0.448	3.82487040597321e-94
METTL1	1.46499672476745e-98	0.737948990939386	0.682	0.423	4.79610627754369e-94
CDC25B	2.16838916617577e-98	0.991051426509751	0.42	0.193	7.09887245222623e-94
NAP1L1	5.16842122342758e-98	0.413970530363664	0.951	0.836	1.69203774012572e-93
LMNB1	5.20298895926947e-98	1.11479966074305	0.337	0.13	1.70335452548564e-93
SMARCA5	1.00398063482999e-97	0.524904597038049	0.906	0.722	3.28683180230642e-93
DIAPH3	1.52584905953158e-97	0.90185114019406	0.425	0.192	4.99532465109448e-93
TCP1	1.68888010125242e-97	0.554041781631846	0.832	0.608	5.52905567548017e-93
PSMD11	1.74022641701643e-97	0.549243712962275	0.856	0.641	5.69715324402839e-93
RPLP0	2.40203256024152e-97	0.352412014210756	0.99	0.907	7.86377419571869e-93
CNN3	3.21000629748169e-97	0.666442592024024	0.696	0.431	1.05089186166956e-92
DNAJC9	7.05553197026204e-97	0.911145823443974	0.462	0.226	2.30984005642439e-92
TOMM40	1.22943354891051e-96	0.779668385678498	0.561	0.307	4.02491955242322e-92
SEPT7	2.49436080833527e-96	0.462397699652199	0.924	0.768	8.166038414328e-92
PPA1	4.06935074127811e-96	0.652460988581508	0.749	0.502	1.33222404567963e-91
PSMC3	5.49030113995713e-95	0.614059009715976	0.757	0.504	1.79741478719917e-90
PFN1	9.89107296117936e-95	0.420697553020541	0.958	0.811	3.2381394660309e-90
BZW2	1.07802477612156e-94	0.716622479462098	0.645	0.392	3.52923751206677e-90
STIP1	1.79071575392762e-94	0.609655498144066	0.767	0.515	5.86244523520825e-90
FANCI	3.98959092551017e-94	0.752333520921327	0.457	0.218	1.30611227719352e-89
CD63	4.83615297509817e-94	-0.428512244710489	0.958	0.923	1.58325976098764e-89
EBNA1BP2	9.16239127097455e-94	0.747869226579232	0.608	0.354	2.99958365429165e-89
